,Plantnummer:,Maximale groeihoogte (in CM):,Wintergroen?:,Bloeimaand:,Vochtigheid grond:,Positie in de tuin:,Bladkleur:,Bloemkleur:,Plantenfamilie:,Nederlandse naam:,Geslacht:,Plantdichtheid Aantal planten per m2:,Type,winterhard:,Wat voor soort grond past erbij?:,Bijvriendelijk:,Soort bodem:,Type tuin :,Snoeiperiode:,Giftig:,Groeiwijze klimplant:,Ondersteuning klimplant:,Haagplanten per strekkende meter:,pH waarde:,Stekels:,Planttijd:,Voeding / Bemesting:,Voeding periode:
525,YAR32,60,Nee,,Vochthoudend,Halfschaduw,Groen,,Aspidiaceae,Niervaren,Dryopteris,3-5,Borderplanten,,,,,,,,,,,,,,,
526,YAR130,50,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,Roze,Geraniaceae,Ooievaarsbek,Geranium,5-7,Borderplanten,,,,,,,,,,,,,,,
527,YAR115,30,Nee,"Juni, Juli",Vochthoudend,Halfschaduw / zon,Groen,"Paars, Blauw",Geraniaceae,Ooievaarsbek,Geranium,8-11,Borderplanten,,,,,,,,,,,,,,,
528,YAR186,30,Nee,"Juni, Juli",Vochthoudend,Halfschaduw / zon,Groen,"Wit, Roze",Geraniaceae,Ooievaarsbek,Geranium,8-11,Borderplanten,,,,,,,,,,,,,,,
529,YAR225,15,Nee,"September, Augustus, Juli, Juni",Vochthoudend-vochtig,Lichte schaduw,Groen,"Paars, Rood",Geraniaceae,Bloedooievaarsbek,Geranium,11-15,Borderplanten,,,,,,,,,,,,,,,
530,YAR1359,70,Nee,"Juni, Juli",Droog-vochthoudend,Zon,Groen,"Paars, Blauw",Geraniaceae,Bosooievaarsbek,Geranium,7-9,Borderplanten,,,,,,,,,,,,,,,
531,YAR68,50,Nee,"Juni, Juli, Augustus",Vochthoudend,Halfschaduw / zon,Groen,Paars,Geraniaceae,Ooievaarsbek,Geranium,7-9,Borderplanten,,,,,,,,,,,,,,,
532,YAR2413,80,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Rood,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,
533,YAR1417,100,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Rood,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,
534,YAR3465,60,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Roze,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,
535,YAR765,100,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Roze,Papaveraceae,Oosterse klaproos,Papaver,5-7,Borderplanten,,,,,,,,,,,,,,,
536,YAR2420,80,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Roze,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,
537,YAR1178,80,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Wit,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,
538,YAR2779,70,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,"Wit, Oranje",Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,
539,YAR898,80,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Lila,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,
540,YAR2464,80,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Rood,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,
541,YAR2767,80,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Roze,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,
542,YAR2158,80,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Rood,Papaveraceae,Oosterse klaproos,Papaver,7-9,Borderplanten,,,,,,,,,,,,,,,
543,YAR4086,40,Nee,"Juni, Juli, Augustus",Vochthoudend-vochtig,Halfschaduw,Groen,"Paars, Rood, Roze",Primulaceae,Orchideeprimula,Primula,11-15,Borderplanten,Ja,Zuur tot neutraal,Ja,,,,,,,,,,,,
544,YAR1540,80,Nee,"Mei, Juni",Droog-vochthoudend,Zon,Groen,Gemengd,Scrophulariacea,Paarse toorts,Verbascum,,Borderplanten,,,,,,,,,,,,,,,
545,YAR2268,500,Nee,"Juli, Augustus, September",Vochthoudend-vochtig,Zon,Groen,"Wit, Blauw",Passifloraceae,Passiebloem,Passiflora,,Klimplanten,,Zwak zuur tot licht basisch,,,,,,,,,6-8,,,,
546,YAR4321,500,Nee,"Juli, Augustus, September",Vochthoudend-vochtig,Zon,Groen,Wit,Passifloraceae,Passiebloem,Passiflora,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,6-8,,,,
547,YAR1402,10,Ja,"Mei, Juni, Juli",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Geel,Primulaceae,Penningkruid,Lysimachia,,Borderplanten,,,,,,,,,,,,,,,
548,YAR2817,10,Ja,"Juli, Juni, Mei",Vochthoudend,Halfschaduw / zon,"Groen, Geel",Geel,Primulaceae,Penningkruid,Lysimachia,,Borderplanten,,,,,,,,,,,,,,,
549,YAR2131,1000,Nee,"Mei, Juni",Vochthoudend,Halfschaduw / zon,Groen,Wit,Caprifoliaceae,Peterselievlier,Sambucus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
550,YAR1292,300,Nee,"Augustus, Juli",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,"Wit, Roze",Hydrangeaceae,Pluimhortensia,Hydrangea,,Heesters en Struiken,,Zuur tot neutraal,,,,,,,,,,,,,
551,YAR1371,200,Nee,"September, Oktober",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Wit,Hydrangeaceae,Pluimhortensia,Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
552,YAR1296,200,Nee,"Augustus, September",Vochthoudend-vochtig,Lichte / halfschaduw,Groen,Wit,Hydrangeaceae,Pluimhortensia,Hydrangea,1,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,,,,,
553,YAR4053,40,Nee,"Augustus, Juni, Juli",Vochthoudend-vochtig,"Schaduw, Halfschaduw",Groen,"Roze, Paars",Saxifragaceae,Pluimspirea,Astilbe,7-9,Borderplanten,,,,,,,,,,,,,,,
554,YAR66,40,Nee,"Augustus, September",Vochthoudend,Schaduw,Groen,Paars,Saxifragaceae,Pluimspirea,Astilbe,7-9,Borderplanten,,Neutraal,,,,,,,,,,,,,
555,YAR4078,60,Nee,"Juli, Augustus, Juni",Vochthoudend-vochtig,"Halfschaduw, Schaduw",Groen,Wit,Saxifragaceae,Pluimspirea,Astilbe,7-9,Borderplanten,,,,,,,,,,,,,,,
556,YAR3107,120,Nee,"Mei, Juni",Droog,Halfschaduw,Groen,Wit,Liliaceae,Salomonszegel,Polygonatum,,Borderplanten,,,,,,,,,,,,,,,
557,YAR1425,40,Nee,"Mei, Juni",Vochthoudend,Halfschaduw,Groen,Paars,Liliaceae,Salomonszegel,Polygonatum,,Borderplanten,,,,,,,,,,,,,,,
558,YAR2793,5,Nee,"Mei, Juni",Vochthoudend-vochtig,Lichte schaduw,Groen,Roze,Liliaceae,Salomonszegel,Polygonatum,,Borderplanten,,Zwak zuur tot neutraal,,,,,,,,,,,,,
559,YAR264,70,Nee,"Mei, Juni",Droog,Halfschaduw,Groen,Wit,Liliaceae,Gewone salomonszegel,Polygonatum,,Borderplanten,,,,,,,,,,,,,,,
560,YAR507,50,Nee,"Mei, Juni",Droog,Halfschaduw,Groen,Wit,Liliaceae,Welriekende salomonszegel,Polygonatum,,Borderplanten,,,,,,,,,,,,,,,
561,YAR2169,100,Nee,"Mei, Juni",Droog,Halfschaduw,Groen,Wit,Liliaceae,Tuinsalomonszegel,Polygonatum,,Borderplanten,,,,,,,,,,,,,,,
562,YAR1459,300,Ja,Mei,Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Paars,Ericaceae,Pontische rododendron,Rhododendron,1-3,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
563,YAR1729,250,Ja,Mei,Vochthoudend-vochtig,"Halfschaduw, Zon",Wit,Paars,Ericaceae,Pontische rododendron,Rhododendron,1,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
564,YAR2460,300,Ja,Juni,Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Rosaceae,Laurierkers,Prunus,,Haagplanten,,Zwak zuur tot licht basisch,,,,"April, September",,,,,,Nee,,,
565,YAR1965,150,Nee,"Mei, April",Droog-vochthoudend,Lichte schaduw / zon,"Bruin, Rood","Wit, Roze",Rosaceae,Sierkers,Prunus,,Bomen,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
566,YAR2878,150,Nee,"April, Mei",Droog-vochthoudend,Lichte schaduw / zon,Groen,Wit,Rosaceae,"Prunus, Sierkers",Prunus,,Bomen,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
567,YAR2492,300,Nee,April,Droog-vochthoudend,Lichte schaduw / zon,Groen,Roze,Rosaceaea,Sierkers,Prunus,,Bomen,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
568,YAR3966,,Ja,"Mei, Juni",Vochthoudend-vochtig,Lichte schaduw / zon,,Wit,Rosaceae,Vuurdoorn,Pyracantha,,Haagplanten,,,,,,,Besjes zijn giftig,,,,,,,,
569,YAR1189,700,Nee,"Juni, Juli",Droog-vochthoudend,"Halfschaduw, Zon",Groen,Wit,Rosaceae,Ramblerroos,Rosa,1,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
570,YAR4037,200,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,Blauw,Ranunculaceae,Ridderspoor,Delphinium,,Borderplanten,,,,,,,,,,,,,,,
571,YAR971,200,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,Paars,Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
572,YAR140,125,Nee,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Blauw,Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
573,YAR18,125,Nee,"Augustus, Juli, Juni",Vochthoudend,Zon,Groen,"Paars, Blauw",Ranunculaceae,Ridderspoor,Delphinium,7-9,Borderplanten,,,,,,,,,,,,,,,
574,YAR1767,150,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,Blauw,Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
575,YAR3364,200,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,Paars,Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
576,YAR19,200,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,Paars,Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
577,YAR83,175,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,Blauw,Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
578,YAR481,200,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,"Wit, Blauw",Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
579,YAR2026,150,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,"Wit, Blauw",Ranunculaceae,Ridderspoor,Delphinium,7-9,Borderplanten,,,,,,,,,,,,,,,
580,YAR1122,180,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,Paars,Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
581,YAR20,200,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,"Paars, Blauw",Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
582,YAR1995,125,Nee,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Wit,Ranunculaceae,Ridderspoor,Delphinium,7-9,Borderplanten,,,,,,,,,,,,,,,
583,YAR3253,175,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,"Paars, Blauw",Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
584,YAR2265,175,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,"Paars, Blauw",Ranunculaceae,Ridderspoor,Delphinium,7-9,Borderplanten,,,,,,,,,,,,,,,
585,YAR2477,125,Nee,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Blauw,Ranunculaceae,Ridderspoor,Delphinium,7-9,Borderplanten,,,,,,,,,,,,,,,
586,YAR2005,150,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,"Paars, Blauw",Ranunculaceae,Ridderspoor,Delphinium,7-9,Borderplanten,,,,,,,,,,,,,,,
587,YAR231,200,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,Wit,Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
588,YAR3729,150,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,Blauw,Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
589,YAR1693,200,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,Blauw,Ranunculaceae,Ridderspoor,Delphinium,7-9,Borderplanten,,,,,,,,,,,,,,,
590,YAR21,200,Nee,"Juni, Juli",Vochthoudend,"Zon, Halfschaduw",Groen,"Wit, Paars",Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
591,YAR1860,125,Nee,"Augustus, Juli, Juni",Vochthoudend,Zon,Groen,"Paars, Blauw",Ranunculaceae,Ridderspoor,Delphinium,7-9,Borderplanten,,,,,,,,,,,,,,,
592,YAR967,125,Nee,"Augustus, Juli, Juni",Vochthoudend,Zon,Groen,"Paars, Blauw",Ranunculaceae,Ridderspoor,Delphinium,7-9,Borderplanten,,,,,,,,,,,,,,,
593,YAR2626,175,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,"Paars, Blauw",Ranunculaceae,Ridderspoor,Delphinium,7-9,Borderplanten,,,,,,,,,,,,,,,
594,YAR852,150,Nee,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Wit,Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
595,YAR2357,175,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,"Roze, Blauw",Ranunculaceae,Ridderspoor,Delphinium,,Borderplanten,,,,,,,,,,,,,,,
596,YAR2357,175,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,"Roze, Blauw",Ranunculaceae,Ridderspoor,Delphinium,,Borderplanten,,,,,,,,,,,,,,,
597,YAR982,100,Nee,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Blauw,Ranunculaceae,Ridderspoor,Delphinium,7-9,Borderplanten,,,,,,,,,,,,,,,
598,YAR1411,175,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,"Paars, Blauw",Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
599,YAR552,175,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,"Paars, Blauw",Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
600,YAR52,175,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,"Wit, Roze",Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
601,YAR766,200,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,Blauw,Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
602,YAR2330,125,Nee,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Blauw,Ranunculaceae,Ridderspoor,Delphinium,,Borderplanten,,,,,,,,,,,,,,,
603,YAR2856,40,Nee,"September, Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,Blauw,Ranunculaceae,Ridderspoor,Delphinium,9-11,Borderplanten,,,,,,,,,,,,,,,
604,YAR3654,50,Nee,"Juni, Juli",Droog-vochthoudend,Zon,Groen,"Rood, Oranje",Ranunculaceae,Ridderspoor,Delphinium,9-11,Borderplanten,,,,,,,,,,,,,,,
605,YAR1928,60,Nee,"Juni, Juli",Vochthoudend,Zon,Groen,Blauw,Ranunculaceae,Ridderspoor,Delphinium,5-7,Borderplanten,,,,,,,,,,,,,,,
606,YAR3248,100,Nee,"Juni, Juli, Augustus",Vochthoudend,Zon,Groen,Roze,Ranunculaceae,Ridderspoor,Delphinium,7-9,Borderplanten,,,,,,,,,,,,,,,
607,YAR333,200,Nee,"Augustus, Juli, Juni, Mei",Vochthoudend,Zon,Groen,"Roze, Rood",Rosaceae,Rimpelroos,Rosa,1-2,Tuin thema's en Meer,Tot -15 graden Celsius,Zuur tot zwak zuur,Ja,,,,,,,,5-7,Ja,,,
608,YAR2114,450,Nee,"Juni, Juli",Droog-vochthoudend,Zon,Paars,"Geel, Groen",Anacardiaceae,Pruikenboom,Cotinus,,Tuin thema's en Meer,,Neutraal tot basisch,,,,,,,,,7-9,,,,
609,YAR446,200,Nee,"April, Mei",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Rood,Grossulariaceae,Aalbes,Ribes,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
610,YAR4015,100,Nee,"Juli, Augustus, September",Vochthoudend,Zon,Groen,Roze,Asteraceae,Rode zonnehoed,Echinacea,7-9,Borderplanten,,,,,,,,,,,,,,,
611,YAR2624,50,Nee,"Juli, Augustus, September",Vochthoudend,Zon,Groen,Roze,Asteraceae,Rode zonnehoed,Echinacea,7-9,Borderplanten,,,,,,,,,,,,,,,
612,YAR4042,45,Nee,"Juli, Augustus, September",Droog-vochthoudend,Zon,Groen,Wit,Asteraceae,Rode zonnehoed,Echinacea,7-9,Borderplanten,,,,,,,,,,,,,,,
613,YAR2748,90,Nee,"Juli, Augustus, September",Vochthoudend,Zon,Groen,Roze,Asteraceae,Rode zonnehoed,Echinacea,7-9,Borderplanten,,,,,,,,,,,,,,,
614,YAR1921,100,Nee,"Juli, Augustus, September",Vochthoudend,Zon,Groen,Roze,Asteraceae,Rode zonnehoed,Echinacea,7-9,Borderplanten,,,,,,,,,,,,,,,
615,YAR1080,90,Nee,"September, Augustus, Juli",Vochthoudend,Zon,Groen,"Paars, Rood",Asteraceae,Rode zonnehoed,Echinacea,7-9,Borderplanten,,,,,,,,,,,,,,,
616,YAR910,100,Nee,"Juli, Augustus, September",Vochthoudend,Zon,Groen,Wit,Asteraceae,Rode zonnehoed,Echinacea,7-9,Borderplanten,,,,,,,,,,,,,,,
617,YAR1322,200,Nee,"April, Mei",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,"Wit, Groen",Grossulariaceae,Aalbes,Ribes,1-2,Fruitstruiken en moestuinplanten,Tot -25 graden Celsius,Zwak zuur tot licht basisch,,,,,,,,,,,,,
618,YAR25702,150,Nee,Mei,Droog-vochthoudend,"Zon, Halfschaduw",Groen,"Wit, Roze",Rosaceae,Rode herfstframboos,,,Tuin thema's en Meer,Tot -20 graden Celsius,,Ja,,,,,Leiplant,"Klimdraad, Trellis",6-8,,,,,
619,YAR1,400,Nee,"Mei, Juni",Vochthoudend,Halfschaduw,Groen,Wit,Cornaceae,Rode kornoelje,Cornus,,Tuin thema's en Meer,Ja,Neutraal,,,,,,,,,,,,,
620,YAR726,80,Nee,"Juni, Juli, Augustus",Droog-vochthoudend,Zon,"Groen, Blauw",Rood,Caprifoliaceae,Rode spoorbloem,Centranthus,,Borderplanten,,,,,,,,,,,,,,,
621,YAR1265,300,Ja,Juni,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Wit,Ericaceae,Rododendron,Rhododendron,1-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
622,YAR2124,300,Ja,"Mei, Juni",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,"Lila, Paars",Ericaceae,Rododendron,Rhododendron,1-3,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
623,YAR1131,300,Ja,"Mei, Maart, April",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Roze,Ericaceae,Rododendron,Rhododendron,1,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,4.5-7,,,,
624,YAR1886,100,Nee,Mei,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Oranje,Ericaceae,Rododendron,Rhododendron,1-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
625,YAR3487,300,Ja,Mei,Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Ericaceae,Rododendron,Rhododendron,1,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,4.5-6,,,,
626,YAR1723,100,Ja,"April, Mei",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Wit,Ericaceae,Rododendron,Rhododendron,1-3,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
627,YAR1799,100,Nee,Mei,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Oranje,Ericaceae,Rododendron,Rhododendron,1-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
628,YAR2004,100,Nee,Mei,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Geel,Ericaceae,Rododendron,Rhododendron,1-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
629,YAR1092,50,Nee,Mei,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,"Roze, Rood",Ericaceae,Rododendron,Rhododendron,2-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
630,YAR1109,150,Ja,Mei,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Roze,Ericaceae,Rododendron,Rhododendron,"1, 1-3",Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
631,YAR1306,100,Nee,Mei,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Rood,Ericaceae,Rododendron,Rhododendron,1-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
632,YAR1353,100,Nee,Mei,Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,"Wit, Geel",Ericaceae,Rododendron,Rhododendron,1-3,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
633,YAR1007,300,Ja,Mei,Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Roze,Ericaceae,Rododendron,Rhododendron,2-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,4-6,,,,
634,YAR2276,250,Ja,"Mei, Juni",Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Roze,Ericaceae,Rododendron,Rhododendron,1,Heesters en Struiken,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
635,YAR455,90,Ja,Juni,Vochthoudend-vochtig,"Halfschaduw, Zon",Groen,Roze,Ericaceae,Rododendron,Rhododendron,2-3,Tuin thema's en Meer,Ja,Zwak zuur tot licht basisch,Nee,Zuurminnend,Alle,"Maart, April",Ja,,,,4.5-6,Nee,,Hortensia Voeding,
636,YAR228,60,Nee,"Mei, Juni",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Roze,Ericaceae,Rododendron,Rhododendron,1,Tuin thema's en Meer,Ja,Zwak zuur tot licht basisch,Nee,Zuurminnend,Alle,"Maart, April",Ja,,,1,"4, 5, 6",Nee,"Januari, Februari, Maart, April, Mei, Juni, Juli, Augustus, September, Oktober, November, December",Hortensia Voeding,"maart-juni, juli-oktober"
637,YAR1279,200,Ja,"April, Mei",Vochthoudend-vochtig,Lichte schaduw / zon,Groen,Paars,Ericaceae,Rododendron,Rhododendron,1-3,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
638,YAR908,60,Ja,Mei,Vochthoudend-vochtig,Lichte schaduw,Groen,Blauw,Ericaceae,Rododendron,Rhododendron,2-3,Tuin thema's en Meer,,Zuur tot neutraal,,,,,,,,,4.5-7,,,,
639,YAR534,60,Ja,Mei,Vochthoudend-vochtig,Lichte schaduw,Groen,Roze,Ericaceae,Rododendron,Rhododendron,2-3,Tuin thema's en Meer,Nee,Zuur tot neutraal,Nee,Zuurminnend,Alle,"Maart, April",Nee,,,1,4.5-6,Nee,"Januari, Februari, Maart, April, Mei, Juni, Juli, Augustus, September, Oktober, November, December",Hortensia Voeding,"maart-juni, juli-oktober"
640,YAR2600,200,Nee,"Augustus, Juli, Juni",Vochthoudend,Halfschaduw,Groen,"Paars, Rood, Roze",Rosaceae,Roodbloeiende framboos,Rubus,,Tuin thema's en Meer,,Neutraal,,,,,,,,,,,,,
641,YAR3603,125,Ja,"Augustus, Juli, Juni",Droog,Zon,"Groen, Grijs",Wit,Cistaceae,Rotsroos,Cistus,,Tuin thema's en Meer,,,,,,,,,,,,,,,
642,YAR3033,150,Ja,"Juli, Augustus, Juni",Droog-vochthoudend,Zon,"Groen, Grijs","Roze, Paars",Cistaceae,Rotsroos,Cistus,,Tuin thema's en Meer,,Zwak zuur tot licht basisch,,,,,,,,,,,,,
643,YAR871,125,Ja,"Augustus, Juli, Juni",Droog,Zon,"Groen, Grijs",Wit,Cistaceae,Rotsroos,Cistus,,Tuin thema's en Meer,,,,,,,,,,,,,,,
644,YAR295,15,Nee,"Juli, Juni",Droog-vochthoudend,Zon,"Bruin, Rood","Paars, Rood",Crassulaceae,Roze vetkruid,Sedum,7-9,Borderplanten,,,,,,,,,,,,,,,
645,YAR119,15,Nee,"Juni, Juli",Droog-vochthoudend,Zon,Groen,Roze,Crassulaceae,Roze vetkruid,Sedum,7-9,Borderplanten,,,,,,,,,,,,,,,
646,YAR2874,60,Nee,"Oktober, September, Augustus",Droog-vochthoudend,Zon,Groen,"Geel, Zwart",Asteraceae,Rudbeckia,Rudbeckia,,Borderplanten,,,,,,,,,,,,,,,
647,YAR3154,100,Nee,"Oktober, September, Augustus",Droog-vochthoudend,Zon,"Groen, Grijs","Geel, Zwart",Asteraceae,Rudbeckia,Rudbeckia,7-9,Borderplanten,,,,,,,,,,,,,,,
648,YAR3183,175,Nee,"September, Augustus, Juli",Droog-vochthoudend,Zon,Blauw,"Geel, Zwart",Asteraceae,Rudbeckia,Rudbeckia,7-9,Borderplanten,,,,,,,,,,,,,,,
649,YAR997,200,Nee,"Augustus, September",Droog-vochthoudend,Zon,Groen,Geel,Asteraceae,Rudbeckia,Rudbeckia,7-9,Borderplanten,,,,,,,,,,,,,,,
650,YAR2478,1000,Nee,,Vochthoudend,Zon,Groen,,Betulaceae,Ruwe berk,Betula,,Bomen,,Zwak zuur tot licht basisch,,,"Bostuin, Openbaar groen",,,,,,,,,,
651,YAR733,40,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Paars, Geel",Lamiaceae,Salie,Salvia,8-11,Borderplanten,,,,,,,,,,,,,,,
652,YAR3391,90,Nee,"Augustus, Juli, Juni, Mei, September",Droog-vochthoudend,Zon,Groen,"Paars, Blauw",Lamiaceae,Salie,Salvia,,Borderplanten,,,,,,,,,,,,,,,
653,YAR914,70,Nee,"Augustus, Juli, Juni",Droog-vochthoudend,Zon,Groen,"Roze, Paars",Lamiaceae,Salie,Salvia,8-11,Borderplanten,,,,,,,,,,,,,,,
